[2019-09-24T15:58:20.866] [INFO] default - [::1 GET /public/images/167.png 404 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:58:21.076] [INFO] default - [::1 GET /public/images/167.png 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:58:21.300] [INFO] default - [::1 GET /public/images/167.png 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:58:21.501] [INFO] default - [::1 GET /public/images/167.png 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:59:40.189] [INFO] default - [::1 GET / 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:00:28.246] [INFO] default - [::1 POST /admin/login 200 423ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:00:32.398] [INFO] default - 查看banner
[2019-09-24T16:00:32.400] [INFO] default - [::1 GET /admin/home/banner 304 233ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:00:32.462] [INFO] default - [::1 GET /upload/upload_69cc55dcb9db3d29a2c91aa176f89431.jpg 304 3ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:00:32.468] [INFO] default - [::1 GET /upload/upload_5d9552196650ec0bbf35c47cc3fb6980.jpg 304 8ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:00:32.472] [INFO] default - [::1 GET /upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 304 12ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:01:06.437] [INFO] default - [::1 GET /upload/upload_69cc55dcb9db3d29a2c91aa176f89431.jpg 304 0ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:01:26.702] [INFO] default - [::1 GET /upload/upload_69cc55dcb9db3d29a2c91aa176f89431.jpg 304 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:01:43.469] [INFO] default - [::1 GET /public/images/167.png 404 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:01:47.133] [INFO] default - [::1 GET /images/167.png 200 3ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T16:02:35.591] [INFO] default - [::1 GET /css/home.css 200 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
